SpMax_L,F04[C-N],C%,nO,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,Class*
3.732,0,30,0,2.511,1.585,8.16,0,0.959,1.145,0,0,0,1.196,0,0,0,0,1.802,-0.181,0,0,2.488,1
3.879,0,31,0,2.908,2.281,8.743,0,0.96,1.143,0,0,0,1.202,0,0,0,0,1.902,0.036,0,0,3.685,1
3.942,0,31.6,0,3.44,2.777,9.207,0,0.969,1.141,0,0,0,1.22,0,0,1,0,1.95,0.003,0,0,5.294,1
3.966,0,32,0,4.075,3.146,9.522,0,0.965,1.138,0,0,0,1.243,0,1,0,0,1.97,0,1,0,6.909,1
3.732,1,26.3,0,2.532,1.585,8.16,0,0.969,1.157,0,0,0,1.152,0,0,0,0,1.802,-0.195,0,0,2.488,1
4,0,23.1,0,2.167,0.811,8.318,0,0.972,1.166,0,0,0,1.182,0,0,0,0,1.732,-0.522,0,0,1,1
2,0,16.7,1,1.549,0,4.174,0,1.016,1.173,0,0,0,0.93,0,0,0,0,1,-1.099,0,0,1,1
3.732,0,27.8,1,2.555,1.585,8.16,1,0.979,1.15,0,0,0,1.134,0,0,0,0,1.802,-0.205,0,0,2.488,1
4,0,30,1,2.273,1,8.482,0,0.998,1.146,0,0,0,1.09,1,0,0,0,2.17,0.34,0,0,1,1
3.414,0,20,2,2.243,1,7.408,0,1.031,1.166,0,0,0,0.98,0,0,0,0,1.618,-0.642,0,0,1.707,1
4.17,0,23.1,2,2.449,0.971,8.597,1,1.015,1.16,0,0,0,1.044,0,0,0,0,1.848,0.391,0,0,1.542,1
4.303,0,25,2,2.608,1.459,8.815,2,1.005,1.156,0,0,0,1.056,0,0,0,0,1.932,-0.229,0,0,1.745,1
3.414,0,37.5,1,2.333,1,7.408,1,1.012,1.13,0,0,0,1.215,0,0,0,0,1.618,-0.66,0,0,1.707,1
4.214,0,25,2,2.608,1.459,8.755,1,1.005,1.156,0,0,0,1.104,0,0,0,0,1.902,-0.236,0,0,2.052,1
3.848,0,27.3,2,2.858,2,8.584,1,0.993,1.151,0,0,0,1.117,0,0,0,0,1.879,-0.076,0,0,3.284,1
3.414,0,30,1,2.263,1,7.408,1,0.998,1.146,0,0,0,1.142,0,0,0,0,1.618,-0.589,0,9.174,1.707,1
4.393,0,37,1,3.233,2.187,9.562,1,0.978,1.131,0,0,0,1.259,0,0,0,0,2.048,0.013,0,10.02,3.684,1
4.562,0,31.3,1,2.634,0.918,9.184,2,0.984,1.143,0,0,0,1.206,0,0,0,0,2,-0.218,0,10.144,1.521,1
4,0,30,1,2.279,0.811,8.318,0,0.998,1.146,0,0,0,1.195,0,0,0,0,1.732,-0.596,0,9.444,1,1
4.694,0,30,2,2.917,1.406,9.425,4,0.998,1.146,0,0,0,1.14,0,0,0,0,2.101,-0.077,0,10.162,1.631,1
4.236,0,33.3,2,3.974,3.574,10.082,2,0.972,1.138,0,0,0,1.205,0,0,0,0,1.996,0,0,10.389,10.108,1
4.17,0,27.3,2,2.512,0.971,8.597,1,1.028,1.151,0,0,0,1.112,0,0,0,0,1.848,0.425,0,9.59,1.542,1
4.214,0,28.6,2,2.662,1.459,8.755,1,1.014,1.149,0,0,0,1.138,0,0,0,0,1.902,-0.249,0,9.822,2.052,1
4.214,0,33.3,2,2.713,1.459,8.755,1,1.025,1.139,0,0,0,1.186,0,0,0,0,1.902,-0.263,0,9.75,2.052,1
4.233,0,27.8,3,2.938,1.906,9.011,1,1.022,1.15,0,0,0,1.119,0,0,0,0,1.95,-0.087,0,10.041,2.999,1
4.334,0,33.3,2,2.838,1.557,8.944,3,1.013,1.139,0,0,0,1.164,0,0,0,0,1.97,0.149,0,10.118,2.195,1
4.372,0,33.3,2,3.139,2.246,9.253,3,0.993,1.139,0,0,0,1.186,0,0,0,0,2.024,-0.025,0,10.624,3.412,1
5.392,0,30.8,3,3.517,1.907,10.633,13,0.989,1.144,0,0,0,1.169,0,0,0,0,2.314,0.001,0,11.278,3.598,1
4.446,0,30,4,3.192,1.922,9.523,6,1.036,1.146,0,0,0,1.116,0,0,0,0,2.061,-0.028,0,20.804,3.132,1
4.411,0,31.8,4,3.699,2.948,9.956,8,0.995,1.142,0,0,0,1.164,0,0,0,0,2.08,0,0,22.47,6.131,1
4.527,0,32.5,4,4.14,3.427,10.56,10,0.981,1.14,0,0,0,1.184,0,0,0,0,2.13,0,0,23.699,9.594,1
4.347,0,33.3,2,3.809,3.309,9.933,3,0.975,1.138,0,0,0,1.202,0,0,0,0,2.019,0,0,10.914,8.395,1
4.562,0,33.3,2,2.723,0.918,9.184,4,1.025,1.139,0,0,0,1.179,0,0,0,0,2,-0.258,0,9.6,1.521,1
4.629,0,33.3,2,2.847,1.379,9.312,5,1.013,1.139,0,0,0,1.189,0,0,0,0,2.053,0.149,0,10.19,1.776,1
4.655,0,35,3,3.204,2.182,9.765,6,1.02,1.135,0,0,0,1.157,1,0,0,0,2.256,0.014,0,10.698,2.989,1
4.644,0,31.6,3,3.082,1.837,9.467,5,1.021,1.142,0,0,0,1.149,0,0,0,0,2.084,0.049,0,10.469,2.732,1
4.646,0,34.3,5,3.707,2.587,10.202,10,1.017,1.137,0,0,0,1.184,0,0,0,0,2.107,0,0,21.879,6.086,1
4.468,0,33.3,4,3.37,2.252,9.651,6,1.025,1.139,0,0,0,1.158,0,0,0,0,2.085,-0.008,0,21.27,3.737,1
4.562,0,25,2,3.184,0.918,9.184,0,1.134,1.142,0,0,0,1.19,0,0,0,0,2,-0.271,0,9.435,1.521,1
5.206,1,30.8,2,3.713,2.9,10.416,0,0.979,1.145,0,0,0,1.187,0,0,0,0,2.218,0,0,10.57,6.77,1
4.691,0,25,4,3.125,1.436,9.666,4,1.066,1.161,0,0,0,1.078,0,0,0,0,2.117,0.052,0,19.617,2.428,1
4.17,0,28.6,3,2.612,0.971,8.597,0,1.124,1.149,0,0,0,1.095,0,0,0,0,1.848,0.481,0,17.905,1.542,1
4.214,0,33.3,2,2.774,1.459,8.755,2,1.071,1.148,0,0,0,1.187,0,0,0,0,1.902,-0.277,0,9.377,2.052,1
5.206,1,30.6,3,3.965,3.189,10.627,2,0.985,1.147,0,0,0,1.18,0,0,0,0,2.22,0,0,22.35,8.266,1
4.17,0,26.7,1,2.4,0.971,8.597,2,0.983,1.152,0,0,0,1.12,0,0,0,0,1.848,0.342,0,0,1.542,1
5.175,0,29.6,3,3.227,1.859,10.165,3,1.002,1.146,0,0,0,1.146,0,0,0,0,2.175,0.014,0,10.355,3.341,1
4.642,0,42.1,1,3.093,1.187,9.631,2,0.987,1.12,0,0,0,1.256,1,0,0,0,2.2,-0.024,0,0,1.487,1
4.607,0,42.1,1,3.093,1.187,9.631,2,0.987,1.12,0,0,0,1.242,1,0,0,0,2.194,-0.024,0,0,1.544,1
4.807,0,42.1,1,3.1,0.881,9.833,3,0.987,1.12,0,0,0,1.272,1,0,0,0,2.246,-0.024,0,0,1.06,1
4.828,0,40,2,3.203,1.261,9.749,4,1.004,1.125,0,0,0,1.219,1,0,0,0,2.247,0.014,0,0,1.436,1
4.543,0,42.9,2,3.309,1.705,9.722,3,1.003,1.119,0,0,0,1.241,1,0,0,0,2.166,-0.008,0,10.395,2.905,1
4.521,0,45,1,3.203,1.661,9.466,1,0.987,1.114,0,0,0,1.268,1,0,0,0,2.154,0.014,0,0,2.593,1
4.607,0,46.7,2,3.151,1.187,9.631,4,1.02,1.111,0,0,0,1.253,1,0,0,0,2.194,-0.026,0,10.036,1.544,1
4.863,0,42.1,3,3.335,1.273,9.967,6,1.027,1.12,0,0,0,1.216,1,0,0,0,2.283,-0.008,0,10.249,1.568,1
4.923,0,44.4,2,3.239,1.185,9.911,4,1.011,1.116,0,0,0,1.248,1,0,0,0,2.267,0.014,0,10.422,1.563,1
5.068,0,41.7,4,3.571,1.59,10.257,10,1.03,1.121,0,0,0,1.202,1,0,0,0,2.343,0.001,0,22.449,2.147,1
5.074,0,38.1,4,3.869,2.066,10.59,14,1.001,1.129,0,0,0,1.215,1,0,0,0,2.354,0,0,23.965,3.873,1
4.914,0,41.7,4,3.571,1.59,10.236,10,1.03,1.121,0,0,0,1.202,1,0,0,0,2.307,0.001,0,22.204,2.465,1
5.047,0,50,5,3.634,1.06,10.531,12,1.078,1.104,0,0,0,1.211,3,0,0,0,2.454,-0.001,0,32.533,1.75,1
4.793,0,50,2,3.699,0.5,10.239,7,0.998,1.104,0,0,0,1.28,2,0,0,0,2.247,0,0,11.596,3.928,1
4.77,0,43.8,3,3.261,1.185,9.882,6,1.04,1.117,0,0,0,1.207,1,0,0,0,2.236,0.015,0,10.231,1.74,1
5.313,0,35.3,4,3.509,1.16,10.388,8,1.061,1.118,0,0,0,1.219,1,0,0,0,2.311,-0.008,0,20.836,1.833,1
4.77,0,38.5,0,3.131,1.185,9.882,0,0.964,1.128,0,0,0,1.274,1,0,0,0,2.236,0.012,0,0,1.74,1
4.414,0,31.6,1,2.755,0.802,9.183,2,0.98,1.142,0,0,0,1.149,1,0,0,0,2.101,-0.066,0,0,0.975,1
4.821,0,33.3,2,3.232,1.455,9.928,4,0.99,1.139,0,0,0,1.189,1,0,0,0,2.249,-0.007,0,10.635,2.209,1
5.331,0,47.4,4,4.133,0.393,10.867,15,1.009,1.102,0,0,0,1.3,3,0,0,0,2.37,0,0,13.055,2.694,1
4.607,0,47.1,1,3.127,1.187,9.631,2,0.992,1.11,0,0,0,1.299,1,0,0,0,2.194,-0.025,0,10.118,1.544,1
5.814,0,37,1,3.256,0.845,10.926,4,0.978,1.131,0,0,0,1.254,3,0,0,0,2.62,0.003,0,11.573,0.811,1
5.637,0,38.5,0,3.144,0.853,10.63,0,0.964,1.128,0,0,0,1.267,3,0,0,0,2.554,-0.006,0,0,0.986,1
5.814,0,34.5,1,3.227,0.845,10.926,4,0.975,1.136,0,0,0,1.223,3,0,0,0,2.62,0.003,0,0,0.811,1
4.732,0,40,2,2.767,0.959,9.464,1,1.042,1.125,0,0,0,1.208,1,0,0,0,2.236,0.145,0,9.827,1.138,1
4.923,0,50,2,3.266,0.664,10.037,5,1.019,1.104,0,0,0,1.266,3,0,0,0,2.376,-0.008,0,10.843,1.057,1
4.414,0,45.5,2,2.935,1.203,9.209,1,1.038,1.114,0,0,0,1.296,1,0,0,0,2.152,-0.085,0,9.774,1.496,1
4.414,0,29.4,2,2.789,1.203,9.209,1,1.004,1.147,0,0,0,1.141,1,0,0,0,2.152,-0.074,0,0,1.496,1
4.982,2,50,2,3.38,0.762,10.226,6,1.033,1.109,0,0,0,1.261,3,0,0,0,2.424,0.004,0,21.888,1.027,1
4.651,0,31.3,1,2.826,0.917,9.502,3,0.998,1.148,0,0,0,1.19,1,0,0,0,2.214,-0.074,0,10.5,0.918,1
4.802,1,50,0,3.174,0,9.805,0,0.985,1.109,0,0,0,1.359,3,0,0,1,2.323,0.013,0,0,0.95,1
5.164,0,23.1,3,3.108,0.917,9.968,4,1.055,1.138,0,0,0,1.188,1,0,0,0,2.256,-0.081,0,20.417,0.939,1
4.826,6,25,3,3.525,1.654,10.121,0,1.007,1.163,0,0,0,1.12,1,0,0,0,2.303,-0.001,0,0,1.916,1
4.829,1,39.3,3,3.786,1.875,10.281,6,1.025,1.127,0,0,0,1.227,1,0,0,0,2.284,0,0,22.271,3.31,1
5.439,2,23.5,11,4.381,1.871,11.509,12,1.055,1.155,0,0,0,1.154,2,0,0,0,2.466,0,0,35.388,5.533,1
4.739,2,39.1,2,3.394,1.695,9.972,2,1.008,1.13,0,0,0,1.218,1,0,0,0,2.212,0.004,0,10.379,2.815,1
4.659,0,23.1,4,3.714,2.128,10.094,4,1.042,1.144,0,0,0,1.174,0,0,0,0,2.125,-0.002,0,20.538,4.56,1
3.975,0,32.3,0,3.699,3.322,9.707,0,0.961,1.141,0,0,0,1.209,0,0,0,0,1.978,0,0,0,8.122,1
4.17,0,25,0,2.373,0.971,8.597,0,0.97,1.161,0,0,0,1.133,0,0,0,0,1.848,0.322,0,0,1.542,1
3,0,20,0,1.883,0.918,6.594,0,0.975,1.174,0,0,0,1.126,0,0,0,0,1.414,0.764,0,0,1.333,1
3.618,0,25,0,2.359,1.522,7.853,0,0.97,1.161,0,0,0,1.129,0,0,0,0,1.732,0.33,0,0,2.094,1
3,0,22.2,1,1.926,0.918,6.594,0,0.998,1.162,0,0,0,1.06,0,0,0,0,1.414,0.826,0,0,1.333,1
4,0,25,1,2.199,0.811,8.318,0,0.988,1.156,0,0,0,1.118,0,0,0,0,1.732,-0.552,0,0,1,1
4.444,0,29.6,1,2.946,1.891,9.202,2,0.973,1.146,0,0,0,1.16,0,0,0,0,2.042,0.038,0,0,2.602,1
3.879,0,29.6,1,2.938,2.281,8.743,1,0.973,1.146,0,0,0,1.161,0,0,0,0,1.902,0.039,0,0,3.685,1
3.95,0,31,1,3.364,2.807,9.296,1,0.969,1.143,0,0,0,1.18,0,0,0,0,1.956,-0.002,0,0,5.698,1
5.391,0,26.7,4,3.838,1.735,10.648,12,0.979,1.139,0,0,0,1.532,0,0,0,0,2.358,0,0,0,1.69,1
3.732,0,25,2,2.597,1.585,8.16,2,1.005,1.156,0,0,0,1.069,0,0,0,0,1.802,-0.229,0,0,2.488,1
3.973,0,32.7,1,3.68,3.301,9.649,1,0.968,1.14,0,0,0,1.202,0,0,0,0,1.975,0,0,0,7.718,1
3.414,0,30,1,2.263,1,7.408,1,0.998,1.146,0,0,0,1.141,0,0,0,0,1.618,-0.611,0,0,1.707,1
3.414,0,18.2,1,2.211,1,7.408,0,1.007,1.178,0,0,0,0.999,0,0,0,0,1.618,-0.603,0,0,1.707,1
4.334,0,26.3,2,2.746,1.557,8.944,2,0.998,1.153,0,0,0,1.099,0,0,0,0,1.97,0.135,0,0,2.195,1
3,0,28.6,1,2.03,0.918,6.594,0,1.014,1.149,0,0,0,1.177,0,0,0,0,1.414,0.903,0,8.806,1.333,1
4.17,0,30.8,1,2.466,0.971,8.597,2,0.989,1.144,0,0,0,1.196,0,0,0,0,1.848,0.363,0,9.505,1.542,1
4.414,0,31.6,1,2.768,1.379,9.222,1,0.98,1.142,0,0,0,1.224,0,0,0,0,2,0.126,0,10.254,2.133,1
4.414,0,33.3,2,2.847,1.379,9.222,2,1.013,1.139,0,0,0,1.209,0,0,0,0,2,0.144,0,20.067,2.133,1
4.236,0,34.6,2,3.78,3.284,9.867,2,0.977,1.136,0,0,0,1.212,0,0,0,0,1.993,0,0,10.319,8.066,1
4.523,0,31.6,3,3.082,1.837,9.454,6,1.021,1.142,0,0,0,1.121,0,0,0,0,2.074,0.048,0,20.676,2.57,1
4.475,0,32.4,4,4.103,3.664,10.32,6,0.982,1.14,0,0,0,1.181,0,0,0,0,2.105,0,0,23.157,9.847,1
4.836,0,32.5,6,4.293,2.929,10.906,17,0.989,1.14,0,0,0,1.178,0,0,0,0,2.262,0,0,37.824,4.685,1
4.476,0,30,2,2.917,1.5,9.345,2,0.998,1.146,0,0,0,1.153,0,0,0,0,2.042,-0.079,0,10.191,2.34,1
4.235,0,28.6,3,3.039,1.975,9.118,1,1.014,1.149,0,0,0,1.124,0,0,0,0,1.962,0.048,0,10.129,3.449,1
4.38,0,30.8,4,3.345,2.252,9.625,5,1.019,1.144,0,0,0,1.138,0,0,0,0,2.044,-0.008,0,20.772,4.178,1
4.412,0,33.9,4,4.587,4.437,10.757,8,0.974,1.137,0,0,0,1.208,0,0,0,0,2.086,0,0,23.892,17.114,1
4.243,0,31.3,4,3.477,2.522,9.716,4,1.008,1.143,0,0,0,1.139,0,0,0,0,2,-0.002,0,20.288,5.475,1
4.237,0,31.8,4,3.699,2.948,9.917,4,0.995,1.142,0,0,0,1.158,0,0,0,0,2,0,0,20.53,7.174,1
4.412,0,30.6,8,4.201,3.774,10.379,8,1.002,1.144,0,0,0,1.146,0,0,0,0,2.085,0,0,23.21,10.723,1
4.544,0,30.4,4,3.272,2.187,9.59,6,1.027,1.145,0,0,0,1.142,0,0,0,0,2.101,0.015,0,21.21,3.207,1
4.399,0,32.3,4,4.363,4.044,10.513,8,0.979,1.138,0,0,0,1.202,0,0,0,0,2.08,0,0,23.602,12.745,1
4.706,0,30,4,3.192,1.922,9.565,2,1.036,1.146,0,0,0,1.13,0,0,0,0,2.127,-0.028,0,20.872,2.691,1
4.67,0,33.3,2,3.447,2.21,9.961,7,0.983,1.139,0,0,0,1.203,0,0,0,0,2.147,-0.002,0,11.115,3.769,1
4.644,0,33.3,2,3.146,1.922,9.536,6,0.993,1.139,0,0,0,1.197,0,0,0,0,2.089,-0.025,0,10.696,3.237,1
4.644,0,33.3,2,3.939,3.418,10.195,6,0.973,1.138,0,0,0,1.21,0,0,0,0,2.094,0,0,11.181,9.52,1
4.343,0,33.3,4,3.047,1.5,9.309,4,1.09,1.139,0,0,0,1.108,0,0,0,0,2,-0.097,0,19.107,2.682,1
4.17,0,22.2,3,2.555,0.971,8.597,0,1.083,1.162,0,0,0,1.018,0,0,0,0,1.848,0.46,0,9.118,1.542,1
4.588,0,32,3,3.256,1.859,9.768,5,1.007,1.141,0,0,0,1.174,0,0,0,0,2.12,0.014,0,21.203,3.114,1
4.17,0,40,0,2.559,0.971,8.597,0,0.987,1.133,0,0,0,1.332,0,0,0,0,1.848,0.401,0,0,1.542,1
5.098,0,17.6,3,3.176,1.5,9.872,3,1.041,1.159,0,0,0,1.131,0,0,0,0,2.112,-0.085,0,19.811,2.472,1
4.214,0,27.3,2,2.953,1.459,8.755,1,1.057,1.146,0,0,0,1.174,0,0,1,0,1.902,-0.263,0,9.587,2.052,1
5.098,0,27.3,4,3.72,2.911,10.229,4,0.992,1.145,0,0,0,1.168,0,0,0,0,2.121,0,0,10.364,6.651,1
4.372,0,38.5,0,3.129,1.922,9.494,0,0.964,1.128,0,0,0,1.288,0,0,0,0,2.031,-0.023,0,0,3.412,1
4.17,0,27.3,2,2.507,1.393,8.723,1,1.028,1.151,0,0,0,1.018,1,0,0,0,2.214,-0.228,0,0,1.542,1
3.802,0,31.6,1,2.746,1.95,8.394,1,0.98,1.142,0,0,0,1.169,0,0,0,0,1.848,0.129,0,0,2.885,1
4.235,0,28,2,2.975,1.975,9.118,2,0.989,1.15,0,0,0,1.137,0,0,0,0,1.962,0.043,0,0,3.449,1
4.752,0,31,6,3.987,3.022,10.465,10,1,1.143,0,0,0,1.149,0,0,0,0,2.161,0,0,23.23,8.486,1
4.618,0,33.3,4,3.305,1.79,9.768,6,1.035,1.139,0,0,0,1.163,0,0,0,0,2.136,0.016,0,20.666,2.612,1
4.562,0,10,2,2.978,0.918,9.184,0,1.082,1.175,0,0,0,1.152,0,0,0,0,2,-0.274,0,9.461,1.521,1
4.77,0,41.7,0,3.164,1.185,9.882,0,0.966,1.121,0,0,0,1.299,1,0,0,0,2.236,0.012,0,0,1.74,1
4.517,2,40,0,3.073,1.409,9.391,0,0.976,1.129,0,0,0,1.266,1,0,0,0,2.149,-0.024,0,0,2.036,1
4.414,0,46.2,1,2.884,0.802,9.183,2,0.998,1.112,0,0,0,1.264,1,0,0,0,2.101,-0.08,0,0,0.975,1
4.732,0,42.9,2,3.025,0.875,9.579,4,1.022,1.119,0,0,0,1.219,1,0,0,0,2.194,0.047,0,0,0.854,1
4.607,0,41.2,2,3.118,1.187,9.631,4,1.011,1.122,0,0,0,1.214,1,0,0,0,2.194,-0.026,0,0,1.544,1
4.898,0,40.7,2,3.451,1.546,10.067,4,0.994,1.123,0,0,0,1.248,1,0,0,0,2.305,-0.002,0,0,2,1
4.97,0,46.2,1,3.66,0.861,10.06,2,1.073,1.099,0,0,0,1.334,1,0,1,0,2.307,0.015,0,0,0.962,1
4.782,0,43.5,1,3.294,1.273,9.947,2,0.984,1.117,0,0,0,1.28,1,0,0,0,2.251,-0.007,0,10.288,1.951,1
4.869,0,40.9,3,3.404,1.528,10.009,6,1.018,1.123,0,0,0,1.22,1,0,0,0,2.29,0.004,0,10.337,1.945,1
5.156,0,55.6,6,3.788,0.75,10.813,16,1.103,1.093,0,0,0,1.225,6,0,0,0,2.532,0,0,44.736,1.508,1
5.072,0,40,4,3.678,1.875,10.32,10,1.016,1.125,0,0,0,1.21,1,0,0,0,2.349,0,0,23.088,2.707,1
5.074,0,44.2,4,4.037,1.563,10.658,13,1.003,1.116,0,0,0,1.243,2,0,0,0,2.355,0,0,24.332,4.684,1
5.072,0,43.8,4,3.808,2.123,10.379,12,1.015,1.117,0,0,0,1.235,1,0,0,0,2.351,0,0,23.409,3.342,1
4.876,0,41.7,4,3.571,1.59,10.236,10,1.03,1.121,0,0,0,1.203,1,0,0,0,2.297,0.001,0,22.051,2.573,1
4.842,0,41.7,2,3.39,1.258,10.136,4,0.998,1.121,0,0,0,1.238,1,0,0,0,2.278,0.004,0,10.482,2.113,1
4.982,0,53.3,3,3.39,0.762,10.226,8,1.05,1.097,0,0,0,1.249,3,0,0,0,2.424,0.004,0,21.666,1.027,1
4.828,0,50,4,3.838,0.584,10.424,10,1.026,1.104,0,0,0,1.248,2,0,0,0,2.265,0,0,22.962,4.401,1
5.12,0,36.8,6,4.156,2.419,10.778,18,1.004,1.131,0,0,0,1.195,1,0,0,0,2.4,0,0,36.905,3.368,1
4.732,0,46.7,2,3.151,1.187,9.642,4,1.02,1.111,0,0,0,1.235,1,0,0,0,2.194,-0.026,0,10.201,1.659,1
4.77,1,41.2,2,3.249,1.185,9.882,4,1.024,1.127,0,0,0,1.219,1,0,0,0,2.236,0.015,0,10.271,1.74,1
4.951,0,38.7,3,3.59,2.071,10.241,9,1.002,1.127,0,0,0,1.223,1,0,0,0,2.29,-0.001,0,11.465,3.744,1
4.923,0,43.8,3,3.261,1.185,9.911,7,1.04,1.117,0,0,0,1.207,1,0,0,0,2.267,0.015,0,10.262,1.563,1
4.972,0,42.9,4,3.513,1.508,10.173,8,1.04,1.119,0,0,0,1.211,1,0,0,0,2.307,-0.002,0,21.185,2.228,1
4.845,0,40,4,3.678,2.125,10.281,8,1.016,1.125,0,0,0,1.217,1,0,0,0,2.282,0,0,22.67,3.549,1
5.31,0,37.5,3,3.425,1.185,10.25,6,1.044,1.112,0,0,0,1.246,1,0,0,0,2.288,0.015,0,20.777,1.726,1
4.414,0,35.3,1,2.801,0.802,9.183,2,0.985,1.134,0,0,0,1.197,1,0,0,0,2.101,-0.069,0,10.463,0.975,1
4.963,0,52.4,2,3.532,0.985,10.277,4,1.009,1.099,0,0,0,1.296,3,0,0,0,2.359,0.001,0,10.645,1.762,1
4.877,0,47.1,3,3.359,0.943,10.07,6,1.037,1.11,0,0,0,1.243,3,0,0,0,2.36,0.004,0,10.31,1.496,1
4.414,0,41.7,1,2.898,0.802,9.183,2,1.016,1.128,0,0,0,1.254,1,0,0,0,2.101,-0.082,0,10.249,0.975,1
4.963,1,50,2,3.539,0.985,10.277,2,1.02,1.108,0,0,0,1.277,3,0,0,0,2.359,0.001,0,10.582,1.762,1
4.789,0,30.8,4,3.354,1.425,10.091,6,1.019,1.144,0,0,0,1.149,1,0,0,0,2.274,0.004,0,10.582,2.257,1
4.362,0,31.6,1,2.93,0.75,9.272,2,0.992,1.147,0,0,0,1.177,1,0,0,0,2.091,0.041,0,10.572,1.017,1
4.983,0,23.1,6,3.342,1.792,10.074,8,1.044,1.16,0,0,0,1.011,0,0,0,0,2.247,-0.008,0,0,2.666,1
4.977,0,31.6,6,4.19,3.866,10.735,9,0.991,1.142,0,0,0,1.157,1,0,0,0,2.361,0,0,11.756,10.593,1
5.164,1,26.7,6,3.592,1.437,10.493,9,1.042,1.155,0,0,0,1.083,1,0,0,0,2.402,-0.001,0,10.741,2.081,1
3.732,0,22.2,0,2.553,1.585,8.16,0,0.979,1.171,0,0,0,1.119,0,0,0,0,1.802,-0.212,0,0,2.488,1
3.966,2,30.8,0,3.545,3.146,9.522,0,0.964,1.145,0,0,0,1.194,0,0,0,0,1.97,0,0,0,6.909,1
3.986,0,32.1,1,4.008,3.792,10.039,1,0.965,1.141,0,0,0,1.198,0,0,0,0,1.987,0,0,0,10.955,1
4.235,0,29.6,1,2.946,1.975,9.118,1,0.973,1.146,0,0,0,1.168,0,0,0,0,1.962,0.039,0,0,3.449,1
4.236,0,32.8,1,3.78,3.974,9.949,1,0.967,1.14,0,0,0,1.189,1,0,0,0,2.236,0,0,0,8.475,1
4.362,0,27.3,2,2.867,1.906,9.059,2,0.993,1.151,0,0,0,1.123,0,0,0,0,2,-0.074,0,0,2.524,1
4.414,0,35.3,1,2.812,1.379,9.222,1,0.985,1.134,0,0,0,1.258,0,0,0,0,2,0.135,0,10.178,2.133,1
4,0,25,2,2.334,0.811,8.318,0,1.053,1.156,0,0,0,1.076,0,0,0,0,1.732,-0.687,0,9,1,1
4.412,0,32.8,4,4.486,4.297,10.675,6,0.974,1.14,0,0,0,1.193,0,0,0,0,2.086,0,0,23.775,15.507,1
4.534,0,32.4,4,4.039,3.181,10.485,10,0.983,1.141,0,0,0,1.18,0,0,0,0,2.14,0,0,23.596,8.016,1
4.386,0,32.5,4,4.167,3.774,10.379,8,0.98,1.14,0,0,0,1.186,0,0,0,0,2.068,0,0,23.377,10.97,1
4.263,0,28.6,4,3.41,2.187,9.533,4,1.038,1.135,0,0,0,1.159,0,0,0,0,2,0.015,0,19.933,4.143,1
4.17,0,30,1,2.548,0.971,8.597,1,1.02,1.154,0,0,0,1.174,0,0,0,0,1.848,0.425,0,9.472,1.542,1
